2.3346	4.80891	-1.80215	11.42	-4.23147	13.8493
2.33455	4.81757	-1.79749	11.4326	-4.22574	13.8609
2.3345	4.82623	-1.79294	11.4454	-4.22009	13.8725
2.33445	4.83489	-1.7885	11.4583	-4.21451	13.8843
2.3344	4.84355	-1.78416	11.4713	-4.20902	13.8961
2.33435	4.85221	-1.77994	11.4844	-4.20361	13.908
2.3343	4.86087	-1.77582	11.4976	-4.19827	13.92
2.33425	4.86953	-1.77181	11.5109	-4.19302	13.9321
2.3342	4.87818	-1.7679	11.5243	-4.18784	13.9442
2.33415	4.88684	-1.7641	11.5378	-4.18275	13.9564
2.3341	4.8955	-1.76041	11.5514	-4.17773	13.9687
2.33405	4.90416	-1.75682	11.5651	-4.1728	13.9811
2.334	4.91281	-1.75335	11.579	-4.16794	13.9936
